Epsilon : 0.0000, accuracy : 95.4000
Epsilon : 0.0040, accuracy : 95.2500
Epsilon : 0.0080, accuracy : 94.7000
Epsilon : 0.0120, accuracy : 94.4500
Epsilon : 0.0160, accuracy : 94.3000
Epsilon : 0.0200, accuracy : 94.1000
Epsilon : 0.0240, accuracy : 93.8500
Epsilon : 0.0280, accuracy : 93.5500
Epsilon : 0.0320, accuracy : 93.2500
Epsilon : 0.0360, accuracy : 92.8000
Epsilon : 0.0400, accuracy : 92.4000
Epsilon : 0.0440, accuracy : 92.1000
Epsilon : 0.0480, accuracy : 91.8500
Epsilon : 0.0520, accuracy : 91.5000
Epsilon : 0.0560, accuracy : 91.3500
Epsilon : 0.0600, accuracy : 91.1500
Epsilon : 0.0640, accuracy : 90.8500
Epsilon : 0.0680, accuracy : 90.5500
Epsilon : 0.0720, accuracy : 90.2000
Epsilon : 0.0760, accuracy : 89.6000
Epsilon : 0.0800, accuracy : 89.3000
Epsilon : 0.0840, accuracy : 88.6500
Epsilon : 0.0880, accuracy : 88.0000
Epsilon : 0.0920, accuracy : 87.4500
Epsilon : 0.0960, accuracy : 86.4500
Epsilon : 0.1000, accuracy : 85.8500
Epsilon : 0.1040, accuracy : 85.1500
Epsilon : 0.1080, accuracy : 84.5000
Epsilon : 0.1120, accuracy : 83.6500
Epsilon : 0.1160, accuracy : 83.1000
Epsilon : 0.1200, accuracy : 82.4500
Epsilon : 0.1240, accuracy : 81.6500
Epsilon : 0.1280, accuracy : 81.1500
Epsilon : 0.1320, accuracy : 80.8500
Epsilon : 0.1360, accuracy : 80.6500
Epsilon : 0.1400, accuracy : 80.3500
Epsilon : 0.1440, accuracy : 79.9500
Epsilon : 0.1480, accuracy : 79.7000
Epsilon : 0.1520, accuracy : 79.5500
Epsilon : 0.1560, accuracy : 79.3500
Epsilon : 0.1600, accuracy : 78.9000
Epsilon : 0.1640, accuracy : 78.6500
Epsilon : 0.1680, accuracy : 78.4500
Epsilon : 0.1720, accuracy : 78.2500
Epsilon : 0.1760, accuracy : 77.7500
Epsilon : 0.1800, accuracy : 77.4000
Epsilon : 0.1840, accuracy : 77.3000
Epsilon : 0.1880, accuracy : 76.9500
Epsilon : 0.1920, accuracy : 76.7500
Epsilon : 0.1960, accuracy : 76.6000
Epsilon : 0.2000, accuracy : 76.3500
