Epsilon : 0.0000, accuracy : 84.3962
Epsilon : 1.0000, accuracy : 83.3107
Epsilon : 2.0000, accuracy : 82.3609
Epsilon : 3.0000, accuracy : 80.5292
Epsilon : 4.0000, accuracy : 78.6974
Epsilon : 5.0000, accuracy : 77.1370
Epsilon : 6.0000, accuracy : 75.5088
Epsilon : 7.0000, accuracy : 74.3555
Epsilon : 8.0000, accuracy : 72.2524
Epsilon : 9.0000, accuracy : 70.5563
Epsilon : 10.0000, accuracy : 68.9959
Epsilon : 11.0000, accuracy : 67.5034
Epsilon : 12.0000, accuracy : 66.2144
Epsilon : 13.0000, accuracy : 65.2646
Epsilon : 14.0000, accuracy : 63.9077
Epsilon : 15.0000, accuracy : 61.9403
Epsilon : 16.0000, accuracy : 60.3799
Epsilon : 17.0000, accuracy : 58.6160
Epsilon : 18.0000, accuracy : 56.9199
Epsilon : 19.0000, accuracy : 54.8847
Epsilon : 20.0000, accuracy : 53.9349
Epsilon : 21.0000, accuracy : 53.0529
Epsilon : 22.0000, accuracy : 51.9674
Epsilon : 23.0000, accuracy : 50.7463
Epsilon : 24.0000, accuracy : 49.4573
Epsilon : 25.0000, accuracy : 47.9647
Epsilon : 26.0000, accuracy : 47.0828
Epsilon : 27.0000, accuracy : 46.0651
Epsilon : 28.0000, accuracy : 45.3189
Epsilon : 29.0000, accuracy : 44.3012
Epsilon : 30.0000, accuracy : 43.6906
Epsilon : 31.0000, accuracy : 42.4695
Epsilon : 32.0000, accuracy : 41.7232
Epsilon : 33.0000, accuracy : 41.1805
Epsilon : 34.0000, accuracy : 40.8412
Epsilon : 35.0000, accuracy : 40.0950
Epsilon : 36.0000, accuracy : 39.3487
Epsilon : 37.0000, accuracy : 38.3989
Epsilon : 38.0000, accuracy : 37.2456
Epsilon : 39.0000, accuracy : 36.4315
Epsilon : 40.0000, accuracy : 35.8887
Epsilon : 41.0000, accuracy : 35.2103
Epsilon : 42.0000, accuracy : 34.3284
Epsilon : 43.0000, accuracy : 33.7856
Epsilon : 44.0000, accuracy : 32.9715
Epsilon : 45.0000, accuracy : 32.5645
Epsilon : 46.0000, accuracy : 31.7503
Epsilon : 47.0000, accuracy : 31.1398
Epsilon : 48.0000, accuracy : 30.4613
Epsilon : 49.0000, accuracy : 29.7829
Epsilon : 50.0000, accuracy : 29.3758
