Epsilon : 0.0000, accuracy : 84.3962
Epsilon : 1.0000, accuracy : 85.8209
Epsilon : 2.0000, accuracy : 87.1777
Epsilon : 3.0000, accuracy : 87.9240
Epsilon : 4.0000, accuracy : 88.9417
Epsilon : 5.0000, accuracy : 89.7558
Epsilon : 6.0000, accuracy : 90.7734
Epsilon : 7.0000, accuracy : 91.5875
Epsilon : 8.0000, accuracy : 92.2659
Epsilon : 9.0000, accuracy : 92.7408
Epsilon : 10.0000, accuracy : 93.2836
Epsilon : 11.0000, accuracy : 93.6228
Epsilon : 12.0000, accuracy : 94.3691
Epsilon : 13.0000, accuracy : 94.8440
Epsilon : 14.0000, accuracy : 95.3867
Epsilon : 15.0000, accuracy : 95.7259
Epsilon : 16.0000, accuracy : 95.8616
Epsilon : 17.0000, accuracy : 96.2687
Epsilon : 18.0000, accuracy : 96.4722
Epsilon : 19.0000, accuracy : 96.6757
Epsilon : 20.0000, accuracy : 96.9471
Epsilon : 21.0000, accuracy : 97.0149
Epsilon : 22.0000, accuracy : 97.2185
Epsilon : 23.0000, accuracy : 97.6255
Epsilon : 24.0000, accuracy : 97.8290
Epsilon : 25.0000, accuracy : 97.8969
Epsilon : 26.0000, accuracy : 98.0326
Epsilon : 27.0000, accuracy : 98.1682
Epsilon : 28.0000, accuracy : 98.5075
Epsilon : 29.0000, accuracy : 98.6431
Epsilon : 30.0000, accuracy : 98.7110
Epsilon : 31.0000, accuracy : 98.7788
Epsilon : 32.0000, accuracy : 98.8467
Epsilon : 33.0000, accuracy : 98.8467
Epsilon : 34.0000, accuracy : 98.8467
Epsilon : 35.0000, accuracy : 98.9145
Epsilon : 36.0000, accuracy : 98.9824
Epsilon : 37.0000, accuracy : 99.1180
Epsilon : 38.0000, accuracy : 99.1180
Epsilon : 39.0000, accuracy : 99.1859
Epsilon : 40.0000, accuracy : 99.1859
Epsilon : 41.0000, accuracy : 99.1859
Epsilon : 42.0000, accuracy : 99.1859
Epsilon : 43.0000, accuracy : 99.1859
Epsilon : 44.0000, accuracy : 99.2537
Epsilon : 45.0000, accuracy : 99.2537
Epsilon : 46.0000, accuracy : 99.2537
Epsilon : 47.0000, accuracy : 99.2537
Epsilon : 48.0000, accuracy : 99.3216
Epsilon : 49.0000, accuracy : 99.3216
Epsilon : 50.0000, accuracy : 99.3894
