Epsilon : 0.0000, accuracy : 60.4938
Epsilon : 0.0010, accuracy : 60.2469
Epsilon : 0.0020, accuracy : 59.3827
Epsilon : 0.0030, accuracy : 58.6420
Epsilon : 0.0040, accuracy : 58.3951
Epsilon : 0.0050, accuracy : 57.4074
Epsilon : 0.0060, accuracy : 56.9136
Epsilon : 0.0070, accuracy : 56.7901
Epsilon : 0.0080, accuracy : 56.4198
Epsilon : 0.0090, accuracy : 55.8025
Epsilon : 0.0100, accuracy : 55.5556
Epsilon : 0.0110, accuracy : 55.1852
Epsilon : 0.0120, accuracy : 54.8148
Epsilon : 0.0130, accuracy : 53.8272
Epsilon : 0.0140, accuracy : 52.8395
Epsilon : 0.0150, accuracy : 52.4691
Epsilon : 0.0160, accuracy : 52.0988
Epsilon : 0.0170, accuracy : 51.8519
Epsilon : 0.0180, accuracy : 51.4815
Epsilon : 0.0190, accuracy : 50.8642
Epsilon : 0.0200, accuracy : 50.0000
Epsilon : 0.0210, accuracy : 49.5062
Epsilon : 0.0220, accuracy : 49.1358
Epsilon : 0.0230, accuracy : 48.7654
Epsilon : 0.0240, accuracy : 48.1481
Epsilon : 0.0250, accuracy : 47.7778
Epsilon : 0.0260, accuracy : 46.9136
Epsilon : 0.0270, accuracy : 46.7901
Epsilon : 0.0280, accuracy : 46.6667
Epsilon : 0.0290, accuracy : 46.4198
Epsilon : 0.0300, accuracy : 45.8025
Epsilon : 0.0310, accuracy : 45.5556
Epsilon : 0.0320, accuracy : 45.4321
Epsilon : 0.0330, accuracy : 44.5679
Epsilon : 0.0340, accuracy : 43.9506
Epsilon : 0.0350, accuracy : 43.7037
Epsilon : 0.0360, accuracy : 43.3333
Epsilon : 0.0370, accuracy : 42.9630
Epsilon : 0.0380, accuracy : 42.5926
Epsilon : 0.0390, accuracy : 42.2222
Epsilon : 0.0400, accuracy : 41.3580
Epsilon : 0.0410, accuracy : 41.2346
Epsilon : 0.0420, accuracy : 40.8642
Epsilon : 0.0430, accuracy : 40.6173
Epsilon : 0.0440, accuracy : 40.3704
Epsilon : 0.0450, accuracy : 40.0000
Epsilon : 0.0460, accuracy : 39.3827
Epsilon : 0.0470, accuracy : 39.0123
Epsilon : 0.0480, accuracy : 38.7654
Epsilon : 0.0490, accuracy : 38.3951
Epsilon : 0.0500, accuracy : 38.3951
