Epsilon : 0.0000, accuracy : 60.4938
Epsilon : 0.0010, accuracy : 60.8642
Epsilon : 0.0020, accuracy : 61.4815
Epsilon : 0.0030, accuracy : 61.7284
Epsilon : 0.0040, accuracy : 63.0864
Epsilon : 0.0050, accuracy : 63.7037
Epsilon : 0.0060, accuracy : 64.3210
Epsilon : 0.0070, accuracy : 65.4321
Epsilon : 0.0080, accuracy : 66.1728
Epsilon : 0.0090, accuracy : 66.7901
Epsilon : 0.0100, accuracy : 67.4074
Epsilon : 0.0110, accuracy : 67.6543
Epsilon : 0.0120, accuracy : 68.3951
Epsilon : 0.0130, accuracy : 69.6296
Epsilon : 0.0140, accuracy : 70.0000
Epsilon : 0.0150, accuracy : 70.2469
Epsilon : 0.0160, accuracy : 70.7407
Epsilon : 0.0170, accuracy : 70.9877
Epsilon : 0.0180, accuracy : 71.3580
Epsilon : 0.0190, accuracy : 71.8519
Epsilon : 0.0200, accuracy : 72.5926
Epsilon : 0.0210, accuracy : 72.7160
Epsilon : 0.0220, accuracy : 72.8395
Epsilon : 0.0230, accuracy : 73.2099
Epsilon : 0.0240, accuracy : 74.0741
Epsilon : 0.0250, accuracy : 74.5679
Epsilon : 0.0260, accuracy : 75.0617
Epsilon : 0.0270, accuracy : 75.5556
Epsilon : 0.0280, accuracy : 76.2963
Epsilon : 0.0290, accuracy : 76.4198
Epsilon : 0.0300, accuracy : 76.9136
Epsilon : 0.0310, accuracy : 77.2840
Epsilon : 0.0320, accuracy : 77.5309
Epsilon : 0.0330, accuracy : 77.9012
Epsilon : 0.0340, accuracy : 78.0247
Epsilon : 0.0350, accuracy : 78.2716
Epsilon : 0.0360, accuracy : 78.7654
Epsilon : 0.0370, accuracy : 79.1358
Epsilon : 0.0380, accuracy : 79.1358
Epsilon : 0.0390, accuracy : 80.3704
Epsilon : 0.0400, accuracy : 80.9877
Epsilon : 0.0410, accuracy : 81.3580
Epsilon : 0.0420, accuracy : 81.6049
Epsilon : 0.0430, accuracy : 81.6049
Epsilon : 0.0440, accuracy : 81.8519
Epsilon : 0.0450, accuracy : 82.0988
Epsilon : 0.0460, accuracy : 82.7160
Epsilon : 0.0470, accuracy : 82.7160
Epsilon : 0.0480, accuracy : 83.2099
Epsilon : 0.0490, accuracy : 83.8272
Epsilon : 0.0500, accuracy : 84.0741
