Epsilon : 0.0000, accuracy : 88.1636
Epsilon : 1.0000, accuracy : 89.9217
Epsilon : 2.0000, accuracy : 90.5657
Epsilon : 3.0000, accuracy : 90.9138
Epsilon : 4.0000, accuracy : 91.1749
Epsilon : 5.0000, accuracy : 91.6623
Epsilon : 6.0000, accuracy : 91.9930
Epsilon : 7.0000, accuracy : 92.0801
Epsilon : 8.0000, accuracy : 92.2193
Epsilon : 9.0000, accuracy : 92.2541
Epsilon : 10.0000, accuracy : 92.3238
Epsilon : 11.0000, accuracy : 92.4108
Epsilon : 12.0000, accuracy : 92.5326
Epsilon : 13.0000, accuracy : 92.6545
Epsilon : 14.0000, accuracy : 92.6371
Epsilon : 15.0000, accuracy : 92.5849
Epsilon : 16.0000, accuracy : 92.6719
Epsilon : 17.0000, accuracy : 92.7763
Epsilon : 18.0000, accuracy : 93.0200
Epsilon : 19.0000, accuracy : 92.9678
Epsilon : 20.0000, accuracy : 93.1767
Epsilon : 21.0000, accuracy : 93.3159
Epsilon : 22.0000, accuracy : 93.4552
Epsilon : 23.0000, accuracy : 93.5422
Epsilon : 24.0000, accuracy : 93.5770
Epsilon : 25.0000, accuracy : 93.7337
Epsilon : 26.0000, accuracy : 93.7511
Epsilon : 27.0000, accuracy : 93.9252
Epsilon : 28.0000, accuracy : 93.9077
Epsilon : 29.0000, accuracy : 93.8207
Epsilon : 30.0000, accuracy : 93.7163
Epsilon : 31.0000, accuracy : 93.7859
Epsilon : 32.0000, accuracy : 93.7859
Epsilon : 33.0000, accuracy : 93.8903
Epsilon : 34.0000, accuracy : 93.9426
Epsilon : 35.0000, accuracy : 93.9948
Epsilon : 36.0000, accuracy : 93.9252
Epsilon : 37.0000, accuracy : 93.8729
Epsilon : 38.0000, accuracy : 93.9077
Epsilon : 39.0000, accuracy : 94.0122
Epsilon : 40.0000, accuracy : 94.0818
Epsilon : 41.0000, accuracy : 94.2037
Epsilon : 42.0000, accuracy : 94.3603
Epsilon : 43.0000, accuracy : 94.4125
Epsilon : 44.0000, accuracy : 94.4648
Epsilon : 45.0000, accuracy : 94.5170
Epsilon : 46.0000, accuracy : 94.6214
Epsilon : 47.0000, accuracy : 94.5866
Epsilon : 48.0000, accuracy : 94.6040
Epsilon : 49.0000, accuracy : 94.5518
Epsilon : 50.0000, accuracy : 94.5866
