Epsilon : 0.0000, accuracy : 88.1636
Epsilon : 1.0000, accuracy : 81.9495
Epsilon : 2.0000, accuracy : 73.1593
Epsilon : 3.0000, accuracy : 69.7998
Epsilon : 4.0000, accuracy : 68.1462
Epsilon : 5.0000, accuracy : 66.7363
Epsilon : 6.0000, accuracy : 65.5178
Epsilon : 7.0000, accuracy : 63.8816
Epsilon : 8.0000, accuracy : 62.0540
Epsilon : 9.0000, accuracy : 59.5997
Epsilon : 10.0000, accuracy : 57.9634
Epsilon : 11.0000, accuracy : 55.7702
Epsilon : 12.0000, accuracy : 53.3333
Epsilon : 13.0000, accuracy : 51.3316
Epsilon : 14.0000, accuracy : 50.0435
Epsilon : 15.0000, accuracy : 48.9643
Epsilon : 16.0000, accuracy : 48.2332
Epsilon : 17.0000, accuracy : 47.4151
Epsilon : 18.0000, accuracy : 46.6144
Epsilon : 19.0000, accuracy : 46.1271
Epsilon : 20.0000, accuracy : 45.4482
Epsilon : 21.0000, accuracy : 44.7868
Epsilon : 22.0000, accuracy : 44.0383
Epsilon : 23.0000, accuracy : 43.8990
Epsilon : 24.0000, accuracy : 43.4639
Epsilon : 25.0000, accuracy : 43.1158
Epsilon : 26.0000, accuracy : 42.8895
Epsilon : 27.0000, accuracy : 42.3325
Epsilon : 28.0000, accuracy : 41.9669
Epsilon : 29.0000, accuracy : 41.7581
Epsilon : 30.0000, accuracy : 41.3577
Epsilon : 31.0000, accuracy : 41.1662
Epsilon : 32.0000, accuracy : 40.6614
Epsilon : 33.0000, accuracy : 40.1915
Epsilon : 34.0000, accuracy : 39.7563
Epsilon : 35.0000, accuracy : 39.4952
Epsilon : 36.0000, accuracy : 39.2863
Epsilon : 37.0000, accuracy : 38.9730
Epsilon : 38.0000, accuracy : 38.7641
Epsilon : 39.0000, accuracy : 38.5553
Epsilon : 40.0000, accuracy : 38.1723
Epsilon : 41.0000, accuracy : 37.8938
Epsilon : 42.0000, accuracy : 37.9809
Epsilon : 43.0000, accuracy : 37.5979
Epsilon : 44.0000, accuracy : 37.4935
Epsilon : 45.0000, accuracy : 37.5283
Epsilon : 46.0000, accuracy : 37.4413
Epsilon : 47.0000, accuracy : 37.4064
Epsilon : 48.0000, accuracy : 37.3542
Epsilon : 49.0000, accuracy : 37.2672
Epsilon : 50.0000, accuracy : 37.1279
