Epsilon : 0.0000, accuracy : 78.0190
Epsilon : 1.0000, accuracy : 82.2252
Epsilon : 2.0000, accuracy : 83.1750
Epsilon : 3.0000, accuracy : 83.9213
Epsilon : 4.0000, accuracy : 84.0570
Epsilon : 5.0000, accuracy : 84.1248
Epsilon : 6.0000, accuracy : 84.5319
Epsilon : 7.0000, accuracy : 84.6676
Epsilon : 8.0000, accuracy : 84.9389
Epsilon : 9.0000, accuracy : 84.8711
Epsilon : 10.0000, accuracy : 84.7354
Epsilon : 11.0000, accuracy : 84.9389
Epsilon : 12.0000, accuracy : 85.1425
Epsilon : 13.0000, accuracy : 85.1425
Epsilon : 14.0000, accuracy : 85.0068
Epsilon : 15.0000, accuracy : 85.2103
Epsilon : 16.0000, accuracy : 85.2782
Epsilon : 17.0000, accuracy : 85.3460
Epsilon : 18.0000, accuracy : 85.2782
Epsilon : 19.0000, accuracy : 85.2782
Epsilon : 20.0000, accuracy : 85.4138
Epsilon : 21.0000, accuracy : 85.4138
Epsilon : 22.0000, accuracy : 85.4817
Epsilon : 23.0000, accuracy : 85.6174
Epsilon : 24.0000, accuracy : 85.6852
Epsilon : 25.0000, accuracy : 85.8209
Epsilon : 26.0000, accuracy : 85.7531
Epsilon : 27.0000, accuracy : 85.9566
Epsilon : 28.0000, accuracy : 86.0923
Epsilon : 29.0000, accuracy : 86.0923
Epsilon : 30.0000, accuracy : 86.2280
Epsilon : 31.0000, accuracy : 86.0923
Epsilon : 32.0000, accuracy : 86.1601
Epsilon : 33.0000, accuracy : 86.0923
Epsilon : 34.0000, accuracy : 86.0923
Epsilon : 35.0000, accuracy : 86.0923
Epsilon : 36.0000, accuracy : 86.1601
Epsilon : 37.0000, accuracy : 86.2280
Epsilon : 38.0000, accuracy : 86.4315
Epsilon : 39.0000, accuracy : 86.5672
Epsilon : 40.0000, accuracy : 86.7028
Epsilon : 41.0000, accuracy : 86.7028
Epsilon : 42.0000, accuracy : 86.5672
Epsilon : 43.0000, accuracy : 86.9742
Epsilon : 44.0000, accuracy : 86.7707
Epsilon : 45.0000, accuracy : 87.1099
Epsilon : 46.0000, accuracy : 87.1777
Epsilon : 47.0000, accuracy : 86.9742
Epsilon : 48.0000, accuracy : 86.9742
Epsilon : 49.0000, accuracy : 86.7707
Epsilon : 50.0000, accuracy : 86.9064
