Epsilon : 0.0000, accuracy : 78.0190
Epsilon : 1.0000, accuracy : 73.3379
Epsilon : 2.0000, accuracy : 71.9132
Epsilon : 3.0000, accuracy : 71.3026
Epsilon : 4.0000, accuracy : 71.0991
Epsilon : 5.0000, accuracy : 70.6242
Epsilon : 6.0000, accuracy : 70.3528
Epsilon : 7.0000, accuracy : 70.0136
Epsilon : 8.0000, accuracy : 69.9457
Epsilon : 9.0000, accuracy : 69.9457
Epsilon : 10.0000, accuracy : 69.8779
Epsilon : 11.0000, accuracy : 69.6065
Epsilon : 12.0000, accuracy : 69.2673
Epsilon : 13.0000, accuracy : 69.3351
Epsilon : 14.0000, accuracy : 68.8602
Epsilon : 15.0000, accuracy : 68.7924
Epsilon : 16.0000, accuracy : 68.4532
Epsilon : 17.0000, accuracy : 68.6567
Epsilon : 18.0000, accuracy : 68.2497
Epsilon : 19.0000, accuracy : 68.3175
Epsilon : 20.0000, accuracy : 68.1818
Epsilon : 21.0000, accuracy : 68.1818
Epsilon : 22.0000, accuracy : 67.9104
Epsilon : 23.0000, accuracy : 67.9783
Epsilon : 24.0000, accuracy : 67.7069
Epsilon : 25.0000, accuracy : 67.4355
Epsilon : 26.0000, accuracy : 67.0963
Epsilon : 27.0000, accuracy : 67.3677
Epsilon : 28.0000, accuracy : 67.2320
Epsilon : 29.0000, accuracy : 67.4355
Epsilon : 30.0000, accuracy : 67.1642
Epsilon : 31.0000, accuracy : 66.9607
Epsilon : 32.0000, accuracy : 67.0285
Epsilon : 33.0000, accuracy : 66.6214
Epsilon : 34.0000, accuracy : 66.6214
Epsilon : 35.0000, accuracy : 66.8928
Epsilon : 36.0000, accuracy : 66.7571
Epsilon : 37.0000, accuracy : 66.2144
Epsilon : 38.0000, accuracy : 65.9430
Epsilon : 39.0000, accuracy : 66.0787
Epsilon : 40.0000, accuracy : 65.9430
Epsilon : 41.0000, accuracy : 66.6214
Epsilon : 42.0000, accuracy : 66.6893
Epsilon : 43.0000, accuracy : 66.6893
Epsilon : 44.0000, accuracy : 66.4858
Epsilon : 45.0000, accuracy : 66.4858
Epsilon : 46.0000, accuracy : 66.3501
Epsilon : 47.0000, accuracy : 65.7395
Epsilon : 48.0000, accuracy : 65.8752
Epsilon : 49.0000, accuracy : 65.8752
Epsilon : 50.0000, accuracy : 65.9430
