Epsilon : 0.0000, accuracy : 93.8500
Epsilon : 0.0040, accuracy : 94.3500
Epsilon : 0.0080, accuracy : 94.7500
Epsilon : 0.0120, accuracy : 95.1000
Epsilon : 0.0160, accuracy : 95.3000
Epsilon : 0.0200, accuracy : 95.6500
Epsilon : 0.0240, accuracy : 95.9000
Epsilon : 0.0280, accuracy : 96.3500
Epsilon : 0.0320, accuracy : 96.6000
Epsilon : 0.0360, accuracy : 96.7500
Epsilon : 0.0400, accuracy : 97.0000
Epsilon : 0.0440, accuracy : 97.0500
Epsilon : 0.0480, accuracy : 97.2000
Epsilon : 0.0520, accuracy : 97.4000
Epsilon : 0.0560, accuracy : 97.5500
Epsilon : 0.0600, accuracy : 97.7500
Epsilon : 0.0640, accuracy : 97.9000
Epsilon : 0.0680, accuracy : 97.9500
Epsilon : 0.0720, accuracy : 98.0500
Epsilon : 0.0760, accuracy : 98.2000
Epsilon : 0.0800, accuracy : 98.2000
Epsilon : 0.0840, accuracy : 98.2000
Epsilon : 0.0880, accuracy : 98.2500
Epsilon : 0.0920, accuracy : 98.4000
Epsilon : 0.0960, accuracy : 98.5000
Epsilon : 0.1000, accuracy : 98.5000
Epsilon : 0.1040, accuracy : 98.5000
Epsilon : 0.1080, accuracy : 98.5000
Epsilon : 0.1120, accuracy : 98.6000
Epsilon : 0.1160, accuracy : 98.4500
Epsilon : 0.1200, accuracy : 98.4500
Epsilon : 0.1240, accuracy : 98.4500
Epsilon : 0.1280, accuracy : 98.4500
Epsilon : 0.1320, accuracy : 98.4500
Epsilon : 0.1360, accuracy : 98.4500
Epsilon : 0.1400, accuracy : 98.3500
Epsilon : 0.1440, accuracy : 98.3500
Epsilon : 0.1480, accuracy : 98.3000
Epsilon : 0.1520, accuracy : 98.2500
Epsilon : 0.1560, accuracy : 98.2500
Epsilon : 0.1600, accuracy : 98.2500
Epsilon : 0.1640, accuracy : 98.2500
Epsilon : 0.1680, accuracy : 98.2500
Epsilon : 0.1720, accuracy : 98.3000
Epsilon : 0.1760, accuracy : 98.2500
Epsilon : 0.1800, accuracy : 98.2000
Epsilon : 0.1840, accuracy : 98.1500
Epsilon : 0.1880, accuracy : 97.6500
Epsilon : 0.1920, accuracy : 97.5500
Epsilon : 0.1960, accuracy : 97.3500
Epsilon : 0.2000, accuracy : 97.1000
