Epsilon : 0.0000, accuracy : 93.8500
Epsilon : 0.0040, accuracy : 93.4500
Epsilon : 0.0080, accuracy : 93.2000
Epsilon : 0.0120, accuracy : 92.8000
Epsilon : 0.0160, accuracy : 92.2500
Epsilon : 0.0200, accuracy : 91.5000
Epsilon : 0.0240, accuracy : 90.6000
Epsilon : 0.0280, accuracy : 89.9000
Epsilon : 0.0320, accuracy : 88.8000
Epsilon : 0.0360, accuracy : 87.9000
Epsilon : 0.0400, accuracy : 87.2500
Epsilon : 0.0440, accuracy : 86.4000
Epsilon : 0.0480, accuracy : 85.4000
Epsilon : 0.0520, accuracy : 84.0000
Epsilon : 0.0560, accuracy : 82.9000
Epsilon : 0.0600, accuracy : 81.5500
Epsilon : 0.0640, accuracy : 80.2500
Epsilon : 0.0680, accuracy : 79.3000
Epsilon : 0.0720, accuracy : 78.2000
Epsilon : 0.0760, accuracy : 77.4500
Epsilon : 0.0800, accuracy : 76.3000
Epsilon : 0.0840, accuracy : 74.7500
Epsilon : 0.0880, accuracy : 74.0500
Epsilon : 0.0920, accuracy : 72.8500
Epsilon : 0.0960, accuracy : 71.5000
Epsilon : 0.1000, accuracy : 70.4500
Epsilon : 0.1040, accuracy : 68.8000
Epsilon : 0.1080, accuracy : 67.7500
Epsilon : 0.1120, accuracy : 66.3500
Epsilon : 0.1160, accuracy : 64.4000
Epsilon : 0.1200, accuracy : 63.3500
Epsilon : 0.1240, accuracy : 62.0500
Epsilon : 0.1280, accuracy : 61.1000
Epsilon : 0.1320, accuracy : 60.1500
Epsilon : 0.1360, accuracy : 58.8000
Epsilon : 0.1400, accuracy : 58.0500
Epsilon : 0.1440, accuracy : 57.1000
Epsilon : 0.1480, accuracy : 56.1000
Epsilon : 0.1520, accuracy : 55.2000
Epsilon : 0.1560, accuracy : 54.2000
Epsilon : 0.1600, accuracy : 53.2500
Epsilon : 0.1640, accuracy : 52.3000
Epsilon : 0.1680, accuracy : 51.4000
Epsilon : 0.1720, accuracy : 50.6000
Epsilon : 0.1760, accuracy : 49.9000
Epsilon : 0.1800, accuracy : 48.9000
Epsilon : 0.1840, accuracy : 48.1500
Epsilon : 0.1880, accuracy : 47.4000
Epsilon : 0.1920, accuracy : 46.4000
Epsilon : 0.1960, accuracy : 46.0500
Epsilon : 0.2000, accuracy : 45.4500
