Epsilon : 0.0000, accuracy : 34.1975
Epsilon : 0.0010, accuracy : 34.1975
Epsilon : 0.0020, accuracy : 34.1975
Epsilon : 0.0030, accuracy : 34.3210
Epsilon : 0.0040, accuracy : 34.5679
Epsilon : 0.0050, accuracy : 34.6914
Epsilon : 0.0060, accuracy : 34.8148
Epsilon : 0.0070, accuracy : 34.9383
Epsilon : 0.0080, accuracy : 35.1852
Epsilon : 0.0090, accuracy : 35.4321
Epsilon : 0.0100, accuracy : 36.2963
Epsilon : 0.0110, accuracy : 36.4198
Epsilon : 0.0120, accuracy : 36.4198
Epsilon : 0.0130, accuracy : 36.4198
Epsilon : 0.0140, accuracy : 36.7901
Epsilon : 0.0150, accuracy : 36.9136
Epsilon : 0.0160, accuracy : 37.0370
Epsilon : 0.0170, accuracy : 37.1605
Epsilon : 0.0180, accuracy : 37.6543
Epsilon : 0.0190, accuracy : 37.6543
Epsilon : 0.0200, accuracy : 37.6543
Epsilon : 0.0210, accuracy : 37.6543
Epsilon : 0.0220, accuracy : 38.0247
Epsilon : 0.0230, accuracy : 38.2716
Epsilon : 0.0240, accuracy : 38.2716
Epsilon : 0.0250, accuracy : 38.3951
Epsilon : 0.0260, accuracy : 38.6420
Epsilon : 0.0270, accuracy : 39.0123
Epsilon : 0.0280, accuracy : 39.1358
Epsilon : 0.0290, accuracy : 39.6296
Epsilon : 0.0300, accuracy : 39.6296
Epsilon : 0.0310, accuracy : 40.1235
Epsilon : 0.0320, accuracy : 40.3704
Epsilon : 0.0330, accuracy : 40.4938
Epsilon : 0.0340, accuracy : 40.6173
Epsilon : 0.0350, accuracy : 40.7407
Epsilon : 0.0360, accuracy : 40.8642
Epsilon : 0.0370, accuracy : 40.8642
Epsilon : 0.0380, accuracy : 40.8642
Epsilon : 0.0390, accuracy : 40.9877
Epsilon : 0.0400, accuracy : 41.2346
Epsilon : 0.0410, accuracy : 41.3580
Epsilon : 0.0420, accuracy : 41.4815
Epsilon : 0.0430, accuracy : 41.3580
Epsilon : 0.0440, accuracy : 41.7284
Epsilon : 0.0450, accuracy : 41.9753
Epsilon : 0.0460, accuracy : 42.2222
Epsilon : 0.0470, accuracy : 42.4691
Epsilon : 0.0480, accuracy : 42.5926
Epsilon : 0.0490, accuracy : 42.7160
Epsilon : 0.0500, accuracy : 43.2099
