Epsilon : 0.0000, accuracy : 34.1975
Epsilon : 0.0010, accuracy : 33.9506
Epsilon : 0.0020, accuracy : 33.8272
Epsilon : 0.0030, accuracy : 33.4568
Epsilon : 0.0040, accuracy : 33.2099
Epsilon : 0.0050, accuracy : 33.0864
Epsilon : 0.0060, accuracy : 32.7160
Epsilon : 0.0070, accuracy : 32.5926
Epsilon : 0.0080, accuracy : 32.4691
Epsilon : 0.0090, accuracy : 32.4691
Epsilon : 0.0100, accuracy : 32.3457
Epsilon : 0.0110, accuracy : 32.2222
Epsilon : 0.0120, accuracy : 32.0988
Epsilon : 0.0130, accuracy : 31.9753
Epsilon : 0.0140, accuracy : 31.8519
Epsilon : 0.0150, accuracy : 31.4815
Epsilon : 0.0160, accuracy : 31.3580
Epsilon : 0.0170, accuracy : 31.1111
Epsilon : 0.0180, accuracy : 30.8642
Epsilon : 0.0190, accuracy : 30.7407
Epsilon : 0.0200, accuracy : 30.6173
Epsilon : 0.0210, accuracy : 30.4938
Epsilon : 0.0220, accuracy : 30.2469
Epsilon : 0.0230, accuracy : 30.1235
Epsilon : 0.0240, accuracy : 30.0000
Epsilon : 0.0250, accuracy : 29.7531
Epsilon : 0.0260, accuracy : 29.6296
Epsilon : 0.0270, accuracy : 29.3827
Epsilon : 0.0280, accuracy : 29.2593
Epsilon : 0.0290, accuracy : 29.0123
Epsilon : 0.0300, accuracy : 28.8889
Epsilon : 0.0310, accuracy : 28.8889
Epsilon : 0.0320, accuracy : 28.7654
Epsilon : 0.0330, accuracy : 28.2716
Epsilon : 0.0340, accuracy : 28.1481
Epsilon : 0.0350, accuracy : 28.0247
Epsilon : 0.0360, accuracy : 27.7778
Epsilon : 0.0370, accuracy : 27.5309
Epsilon : 0.0380, accuracy : 27.2840
Epsilon : 0.0390, accuracy : 27.2840
Epsilon : 0.0400, accuracy : 27.1605
Epsilon : 0.0410, accuracy : 26.7901
Epsilon : 0.0420, accuracy : 26.7901
Epsilon : 0.0430, accuracy : 26.4198
Epsilon : 0.0440, accuracy : 26.1728
Epsilon : 0.0450, accuracy : 26.0494
Epsilon : 0.0460, accuracy : 25.8025
Epsilon : 0.0470, accuracy : 25.6790
Epsilon : 0.0480, accuracy : 25.5556
Epsilon : 0.0490, accuracy : 25.4321
Epsilon : 0.0500, accuracy : 25.3086
