Epsilon : 0.0000, accuracy : 63.9459
Epsilon : 0.0800, accuracy : 56.3433
Epsilon : 0.1600, accuracy : 49.3470
Epsilon : 0.2400, accuracy : 44.5429
Epsilon : 0.3200, accuracy : 40.9981
Epsilon : 0.4000, accuracy : 38.5728
Epsilon : 0.4800, accuracy : 36.7071
Epsilon : 0.5600, accuracy : 35.2612
Epsilon : 0.6400, accuracy : 33.3955
Epsilon : 0.7200, accuracy : 32.0896
Epsilon : 0.8000, accuracy : 30.7369
Epsilon : 0.8800, accuracy : 29.9907
Epsilon : 0.9600, accuracy : 29.1511
Epsilon : 1.0400, accuracy : 28.5448
Epsilon : 1.1200, accuracy : 28.1716
Epsilon : 1.2000, accuracy : 27.8451
Epsilon : 1.2800, accuracy : 27.2854
Epsilon : 1.3600, accuracy : 27.0056
Epsilon : 1.4400, accuracy : 26.7257
Epsilon : 1.5200, accuracy : 26.3993
Epsilon : 1.6000, accuracy : 26.0728
Epsilon : 1.6800, accuracy : 26.0261
Epsilon : 1.7600, accuracy : 25.7929
Epsilon : 1.8400, accuracy : 25.2799
Epsilon : 1.9200, accuracy : 25.0000
Epsilon : 2.0000, accuracy : 24.7668
Epsilon : 2.0800, accuracy : 24.4403
Epsilon : 2.1600, accuracy : 24.3004
Epsilon : 2.2400, accuracy : 24.2537
Epsilon : 2.3200, accuracy : 23.9272
Epsilon : 2.4000, accuracy : 23.6474
Epsilon : 2.4800, accuracy : 23.5541
Epsilon : 2.5600, accuracy : 23.4142
Epsilon : 2.6400, accuracy : 23.3209
Epsilon : 2.7200, accuracy : 23.2276
Epsilon : 2.8000, accuracy : 22.9944
Epsilon : 2.8800, accuracy : 22.9011
Epsilon : 2.9600, accuracy : 22.6679
Epsilon : 3.0400, accuracy : 22.4347
Epsilon : 3.1200, accuracy : 22.5280
Epsilon : 3.2000, accuracy : 22.2948
Epsilon : 3.2800, accuracy : 22.4347
Epsilon : 3.3600, accuracy : 22.3414
Epsilon : 3.4400, accuracy : 22.1082
Epsilon : 3.5200, accuracy : 21.8750
Epsilon : 3.6000, accuracy : 21.6418
Epsilon : 3.6800, accuracy : 21.3153
Epsilon : 3.7600, accuracy : 21.2687
Epsilon : 3.8400, accuracy : 20.9422
Epsilon : 3.9200, accuracy : 20.8955
Epsilon : 4.0000, accuracy : 20.9422
