Epsilon : 0.0000, accuracy : 63.9459
Epsilon : 0.0800, accuracy : 71.4552
Epsilon : 0.1600, accuracy : 77.0522
Epsilon : 0.2400, accuracy : 79.9440
Epsilon : 0.3200, accuracy : 81.8097
Epsilon : 0.4000, accuracy : 83.2556
Epsilon : 0.4800, accuracy : 84.6082
Epsilon : 0.5600, accuracy : 86.0075
Epsilon : 0.6400, accuracy : 86.8937
Epsilon : 0.7200, accuracy : 87.3601
Epsilon : 0.8000, accuracy : 87.9198
Epsilon : 0.8800, accuracy : 88.4795
Epsilon : 0.9600, accuracy : 88.8993
Epsilon : 1.0400, accuracy : 89.0858
Epsilon : 1.1200, accuracy : 89.1325
Epsilon : 1.2000, accuracy : 89.4590
Epsilon : 1.2800, accuracy : 89.5989
Epsilon : 1.3600, accuracy : 89.9254
Epsilon : 1.4400, accuracy : 90.0653
Epsilon : 1.5200, accuracy : 90.1586
Epsilon : 1.6000, accuracy : 90.2985
Epsilon : 1.6800, accuracy : 90.2985
Epsilon : 1.7600, accuracy : 90.3918
Epsilon : 1.8400, accuracy : 90.3918
Epsilon : 1.9200, accuracy : 90.4851
Epsilon : 2.0000, accuracy : 90.4851
Epsilon : 2.0800, accuracy : 90.4851
Epsilon : 2.1600, accuracy : 90.4851
Epsilon : 2.2400, accuracy : 90.7183
Epsilon : 2.3200, accuracy : 90.8116
Epsilon : 2.4000, accuracy : 90.9515
Epsilon : 2.4800, accuracy : 91.0914
Epsilon : 2.5600, accuracy : 91.0914
Epsilon : 2.6400, accuracy : 91.2780
Epsilon : 2.7200, accuracy : 91.4646
Epsilon : 2.8000, accuracy : 91.5112
Epsilon : 2.8800, accuracy : 91.6045
Epsilon : 2.9600, accuracy : 91.6978
Epsilon : 3.0400, accuracy : 91.6511
Epsilon : 3.1200, accuracy : 91.6511
Epsilon : 3.2000, accuracy : 91.6978
Epsilon : 3.2800, accuracy : 91.7444
Epsilon : 3.3600, accuracy : 91.6978
Epsilon : 3.4400, accuracy : 91.7444
Epsilon : 3.5200, accuracy : 91.8377
Epsilon : 3.6000, accuracy : 91.9310
Epsilon : 3.6800, accuracy : 92.0243
Epsilon : 3.7600, accuracy : 92.0243
Epsilon : 3.8400, accuracy : 92.0243
Epsilon : 3.9200, accuracy : 92.1642
Epsilon : 4.0000, accuracy : 92.3507
