Epsilon : 0.0000, accuracy : 96.9365
Epsilon : 1.0000, accuracy : 99.2167
Epsilon : 2.0000, accuracy : 99.3560
Epsilon : 3.0000, accuracy : 99.2341
Epsilon : 4.0000, accuracy : 98.7467
Epsilon : 5.0000, accuracy : 98.5030
Epsilon : 6.0000, accuracy : 98.2419
Epsilon : 7.0000, accuracy : 98.1549
Epsilon : 8.0000, accuracy : 98.0679
Epsilon : 9.0000, accuracy : 97.9983
Epsilon : 10.0000, accuracy : 98.0505
Epsilon : 11.0000, accuracy : 97.9809
Epsilon : 12.0000, accuracy : 98.1549
Epsilon : 13.0000, accuracy : 98.1027
Epsilon : 14.0000, accuracy : 98.1027
Epsilon : 15.0000, accuracy : 98.0679
Epsilon : 16.0000, accuracy : 97.9809
Epsilon : 17.0000, accuracy : 97.9809
Epsilon : 18.0000, accuracy : 98.0331
Epsilon : 19.0000, accuracy : 97.9809
Epsilon : 20.0000, accuracy : 98.0157
Epsilon : 21.0000, accuracy : 98.0679
Epsilon : 22.0000, accuracy : 98.1027
Epsilon : 23.0000, accuracy : 98.1375
Epsilon : 24.0000, accuracy : 98.2594
Epsilon : 25.0000, accuracy : 98.2942
Epsilon : 26.0000, accuracy : 98.2942
Epsilon : 27.0000, accuracy : 98.3638
Epsilon : 28.0000, accuracy : 98.4334
Epsilon : 29.0000, accuracy : 98.5030
Epsilon : 30.0000, accuracy : 98.5379
Epsilon : 31.0000, accuracy : 98.5553
Epsilon : 32.0000, accuracy : 98.6597
Epsilon : 33.0000, accuracy : 98.7467
Epsilon : 34.0000, accuracy : 98.8338
Epsilon : 35.0000, accuracy : 98.9208
Epsilon : 36.0000, accuracy : 98.9730
Epsilon : 37.0000, accuracy : 99.0775
Epsilon : 38.0000, accuracy : 99.0775
Epsilon : 39.0000, accuracy : 99.1297
Epsilon : 40.0000, accuracy : 99.1297
Epsilon : 41.0000, accuracy : 99.1819
Epsilon : 42.0000, accuracy : 99.2167
Epsilon : 43.0000, accuracy : 99.3037
Epsilon : 44.0000, accuracy : 99.3211
Epsilon : 45.0000, accuracy : 99.3211
Epsilon : 46.0000, accuracy : 99.3386
Epsilon : 47.0000, accuracy : 99.3386
Epsilon : 48.0000, accuracy : 99.3734
Epsilon : 49.0000, accuracy : 99.3560
Epsilon : 50.0000, accuracy : 99.3560
