Epsilon : 0.0000, accuracy : 96.9365
Epsilon : 1.0000, accuracy : 84.0035
Epsilon : 2.0000, accuracy : 70.1828
Epsilon : 3.0000, accuracy : 55.6484
Epsilon : 4.0000, accuracy : 43.4813
Epsilon : 5.0000, accuracy : 35.3699
Epsilon : 6.0000, accuracy : 30.2524
Epsilon : 7.0000, accuracy : 26.6319
Epsilon : 8.0000, accuracy : 24.0383
Epsilon : 9.0000, accuracy : 22.3847
Epsilon : 10.0000, accuracy : 21.3577
Epsilon : 11.0000, accuracy : 20.2089
Epsilon : 12.0000, accuracy : 19.7215
Epsilon : 13.0000, accuracy : 19.3734
Epsilon : 14.0000, accuracy : 19.0949
Epsilon : 15.0000, accuracy : 19.0252
Epsilon : 16.0000, accuracy : 19.2515
Epsilon : 17.0000, accuracy : 19.5822
Epsilon : 18.0000, accuracy : 20.0870
Epsilon : 19.0000, accuracy : 20.5222
Epsilon : 20.0000, accuracy : 20.9051
Epsilon : 21.0000, accuracy : 21.3055
Epsilon : 22.0000, accuracy : 21.8625
Epsilon : 23.0000, accuracy : 22.2977
Epsilon : 24.0000, accuracy : 23.2202
Epsilon : 25.0000, accuracy : 23.6031
Epsilon : 26.0000, accuracy : 24.1253
Epsilon : 27.0000, accuracy : 24.7346
Epsilon : 28.0000, accuracy : 25.1697
Epsilon : 29.0000, accuracy : 25.7615
Epsilon : 30.0000, accuracy : 26.1271
Epsilon : 31.0000, accuracy : 26.7885
Epsilon : 32.0000, accuracy : 27.2933
Epsilon : 33.0000, accuracy : 27.6936
Epsilon : 34.0000, accuracy : 28.1288
Epsilon : 35.0000, accuracy : 28.5117
Epsilon : 36.0000, accuracy : 29.1384
Epsilon : 37.0000, accuracy : 29.4343
Epsilon : 38.0000, accuracy : 29.6954
Epsilon : 39.0000, accuracy : 29.9217
Epsilon : 40.0000, accuracy : 30.2524
Epsilon : 41.0000, accuracy : 30.5309
Epsilon : 42.0000, accuracy : 30.8094
Epsilon : 43.0000, accuracy : 30.9661
Epsilon : 44.0000, accuracy : 31.1749
Epsilon : 45.0000, accuracy : 31.4534
Epsilon : 46.0000, accuracy : 31.7493
Epsilon : 47.0000, accuracy : 31.9060
Epsilon : 48.0000, accuracy : 31.9408
Epsilon : 49.0000, accuracy : 32.2889
Epsilon : 50.0000, accuracy : 32.3238
