Epsilon : 0.0000, accuracy : 85.9566
Epsilon : 1.0000, accuracy : 87.1099
Epsilon : 2.0000, accuracy : 88.9417
Epsilon : 3.0000, accuracy : 89.8236
Epsilon : 4.0000, accuracy : 90.5020
Epsilon : 5.0000, accuracy : 91.3840
Epsilon : 6.0000, accuracy : 91.6554
Epsilon : 7.0000, accuracy : 92.1981
Epsilon : 8.0000, accuracy : 92.5373
Epsilon : 9.0000, accuracy : 93.0122
Epsilon : 10.0000, accuracy : 93.6906
Epsilon : 11.0000, accuracy : 94.1655
Epsilon : 12.0000, accuracy : 94.5047
Epsilon : 13.0000, accuracy : 94.5726
Epsilon : 14.0000, accuracy : 94.9796
Epsilon : 15.0000, accuracy : 95.0475
Epsilon : 16.0000, accuracy : 95.1832
Epsilon : 17.0000, accuracy : 95.7259
Epsilon : 18.0000, accuracy : 95.9973
Epsilon : 19.0000, accuracy : 96.4722
Epsilon : 20.0000, accuracy : 96.6079
Epsilon : 21.0000, accuracy : 96.8114
Epsilon : 22.0000, accuracy : 97.0149
Epsilon : 23.0000, accuracy : 97.1506
Epsilon : 24.0000, accuracy : 97.4220
Epsilon : 25.0000, accuracy : 97.6934
Epsilon : 26.0000, accuracy : 97.7612
Epsilon : 27.0000, accuracy : 98.0326
Epsilon : 28.0000, accuracy : 98.1682
Epsilon : 29.0000, accuracy : 98.4396
Epsilon : 30.0000, accuracy : 98.5075
Epsilon : 31.0000, accuracy : 99.1180
Epsilon : 32.0000, accuracy : 99.3216
Epsilon : 33.0000, accuracy : 99.5251
Epsilon : 34.0000, accuracy : 99.5251
Epsilon : 35.0000, accuracy : 99.5929
Epsilon : 36.0000, accuracy : 99.5929
Epsilon : 37.0000, accuracy : 99.5929
Epsilon : 38.0000, accuracy : 99.5929
Epsilon : 39.0000, accuracy : 99.6608
Epsilon : 40.0000, accuracy : 99.6608
Epsilon : 41.0000, accuracy : 99.7286
Epsilon : 42.0000, accuracy : 99.7965
Epsilon : 43.0000, accuracy : 99.7965
Epsilon : 44.0000, accuracy : 99.7286
Epsilon : 45.0000, accuracy : 99.7286
Epsilon : 46.0000, accuracy : 99.7286
Epsilon : 47.0000, accuracy : 99.5929
Epsilon : 48.0000, accuracy : 99.5251
Epsilon : 49.0000, accuracy : 99.4573
Epsilon : 50.0000, accuracy : 99.3894
