Epsilon : 0.0000, accuracy : 85.9566
Epsilon : 1.0000, accuracy : 84.5319
Epsilon : 2.0000, accuracy : 83.3107
Epsilon : 3.0000, accuracy : 82.0896
Epsilon : 4.0000, accuracy : 80.5292
Epsilon : 5.0000, accuracy : 79.5794
Epsilon : 6.0000, accuracy : 78.1547
Epsilon : 7.0000, accuracy : 77.3406
Epsilon : 8.0000, accuracy : 75.9159
Epsilon : 9.0000, accuracy : 74.3555
Epsilon : 10.0000, accuracy : 73.4057
Epsilon : 11.0000, accuracy : 72.6594
Epsilon : 12.0000, accuracy : 71.3704
Epsilon : 13.0000, accuracy : 70.3528
Epsilon : 14.0000, accuracy : 69.1316
Epsilon : 15.0000, accuracy : 67.8426
Epsilon : 16.0000, accuracy : 66.6214
Epsilon : 17.0000, accuracy : 65.6716
Epsilon : 18.0000, accuracy : 64.9932
Epsilon : 19.0000, accuracy : 64.2469
Epsilon : 20.0000, accuracy : 63.3650
Epsilon : 21.0000, accuracy : 62.5509
Epsilon : 22.0000, accuracy : 61.6689
Epsilon : 23.0000, accuracy : 60.9227
Epsilon : 24.0000, accuracy : 60.1085
Epsilon : 25.0000, accuracy : 59.4301
Epsilon : 26.0000, accuracy : 58.8874
Epsilon : 27.0000, accuracy : 58.2768
Epsilon : 28.0000, accuracy : 57.8019
Epsilon : 29.0000, accuracy : 56.8521
Epsilon : 30.0000, accuracy : 56.5807
Epsilon : 31.0000, accuracy : 55.6309
Epsilon : 32.0000, accuracy : 55.1560
Epsilon : 33.0000, accuracy : 54.7490
Epsilon : 34.0000, accuracy : 54.0706
Epsilon : 35.0000, accuracy : 53.7992
Epsilon : 36.0000, accuracy : 53.3921
Epsilon : 37.0000, accuracy : 53.0529
Epsilon : 38.0000, accuracy : 52.3745
Epsilon : 39.0000, accuracy : 51.9674
Epsilon : 40.0000, accuracy : 51.6961
Epsilon : 41.0000, accuracy : 51.0855
Epsilon : 42.0000, accuracy : 50.5427
Epsilon : 43.0000, accuracy : 49.8643
Epsilon : 44.0000, accuracy : 49.3894
Epsilon : 45.0000, accuracy : 49.1180
Epsilon : 46.0000, accuracy : 48.7788
Epsilon : 47.0000, accuracy : 48.1682
Epsilon : 48.0000, accuracy : 47.6255
Epsilon : 49.0000, accuracy : 47.3541
Epsilon : 50.0000, accuracy : 47.1506
