Epsilon : 0.0000, accuracy : 99.5500
Epsilon : 0.0200, accuracy : 99.6500
Epsilon : 0.0400, accuracy : 99.9000
Epsilon : 0.0600, accuracy : 99.9000
Epsilon : 0.0800, accuracy : 99.9500
Epsilon : 0.1000, accuracy : 99.9500
Epsilon : 0.1200, accuracy : 99.9500
Epsilon : 0.1400, accuracy : 99.9500
Epsilon : 0.1600, accuracy : 100.0000
Epsilon : 0.1800, accuracy : 100.0000
Epsilon : 0.2000, accuracy : 99.9500
Epsilon : 0.2200, accuracy : 99.9500
Epsilon : 0.2400, accuracy : 99.9500
Epsilon : 0.2600, accuracy : 99.9500
Epsilon : 0.2800, accuracy : 99.9500
Epsilon : 0.3000, accuracy : 99.9500
Epsilon : 0.3200, accuracy : 99.9500
Epsilon : 0.3400, accuracy : 99.9500
Epsilon : 0.3600, accuracy : 99.9500
Epsilon : 0.3800, accuracy : 99.9500
Epsilon : 0.4000, accuracy : 99.9500
Epsilon : 0.4200, accuracy : 99.9500
Epsilon : 0.4400, accuracy : 99.9500
Epsilon : 0.4600, accuracy : 99.9500
Epsilon : 0.4800, accuracy : 99.9500
Epsilon : 0.5000, accuracy : 99.9500
Epsilon : 0.5200, accuracy : 99.9500
Epsilon : 0.5400, accuracy : 99.9500
Epsilon : 0.5600, accuracy : 99.9500
Epsilon : 0.5800, accuracy : 99.9500
Epsilon : 0.6000, accuracy : 99.9000
Epsilon : 0.6200, accuracy : 99.8500
Epsilon : 0.6400, accuracy : 99.8000
Epsilon : 0.6600, accuracy : 99.8000
Epsilon : 0.6800, accuracy : 99.7500
Epsilon : 0.7000, accuracy : 99.6500
Epsilon : 0.7200, accuracy : 99.5000
Epsilon : 0.7400, accuracy : 99.4000
Epsilon : 0.7600, accuracy : 99.2500
Epsilon : 0.7800, accuracy : 99.1000
Epsilon : 0.8000, accuracy : 98.9000
Epsilon : 0.8200, accuracy : 98.8500
Epsilon : 0.8400, accuracy : 98.7500
Epsilon : 0.8600, accuracy : 98.7000
Epsilon : 0.8800, accuracy : 98.5500
Epsilon : 0.9000, accuracy : 98.5000
Epsilon : 0.9200, accuracy : 98.4500
Epsilon : 0.9400, accuracy : 98.2500
Epsilon : 0.9600, accuracy : 98.0500
Epsilon : 0.9800, accuracy : 98.0000
Epsilon : 1.0000, accuracy : 97.9000
