Epsilon : 0.0000, accuracy : 99.5500
Epsilon : 0.0200, accuracy : 99.4000
Epsilon : 0.0400, accuracy : 99.0000
Epsilon : 0.0600, accuracy : 98.8000
Epsilon : 0.0800, accuracy : 98.7000
Epsilon : 0.1000, accuracy : 98.2000
Epsilon : 0.1200, accuracy : 97.5000
Epsilon : 0.1400, accuracy : 96.9000
Epsilon : 0.1600, accuracy : 96.3000
Epsilon : 0.1800, accuracy : 95.7000
Epsilon : 0.2000, accuracy : 95.2000
Epsilon : 0.2200, accuracy : 94.6000
Epsilon : 0.2400, accuracy : 93.9000
Epsilon : 0.2600, accuracy : 93.1500
Epsilon : 0.2800, accuracy : 92.5500
Epsilon : 0.3000, accuracy : 91.7500
Epsilon : 0.3200, accuracy : 90.8500
Epsilon : 0.3400, accuracy : 90.0000
Epsilon : 0.3600, accuracy : 89.2000
Epsilon : 0.3800, accuracy : 88.5000
Epsilon : 0.4000, accuracy : 87.7000
Epsilon : 0.4200, accuracy : 86.4500
Epsilon : 0.4400, accuracy : 85.2000
Epsilon : 0.4600, accuracy : 84.1500
Epsilon : 0.4800, accuracy : 83.3500
Epsilon : 0.5000, accuracy : 82.0000
Epsilon : 0.5200, accuracy : 81.0500
Epsilon : 0.5400, accuracy : 80.1500
Epsilon : 0.5600, accuracy : 78.6500
Epsilon : 0.5800, accuracy : 77.5000
Epsilon : 0.6000, accuracy : 75.4500
Epsilon : 0.6200, accuracy : 74.3000
Epsilon : 0.6400, accuracy : 73.4000
Epsilon : 0.6600, accuracy : 72.8500
Epsilon : 0.6800, accuracy : 71.8500
Epsilon : 0.7000, accuracy : 71.1500
Epsilon : 0.7200, accuracy : 70.2500
Epsilon : 0.7400, accuracy : 69.7000
Epsilon : 0.7600, accuracy : 68.9000
Epsilon : 0.7800, accuracy : 68.3500
Epsilon : 0.8000, accuracy : 67.7000
Epsilon : 0.8200, accuracy : 67.1500
Epsilon : 0.8400, accuracy : 66.7500
Epsilon : 0.8600, accuracy : 66.1500
Epsilon : 0.8800, accuracy : 65.7500
Epsilon : 0.9000, accuracy : 65.2500
Epsilon : 0.9200, accuracy : 64.8500
Epsilon : 0.9400, accuracy : 64.3000
Epsilon : 0.9600, accuracy : 63.8500
Epsilon : 0.9800, accuracy : 63.3000
Epsilon : 1.0000, accuracy : 63.0000
