Epsilon : 0.0000, accuracy : 81.9753
Epsilon : 0.0010, accuracy : 82.5926
Epsilon : 0.0020, accuracy : 83.0864
Epsilon : 0.0030, accuracy : 83.3333
Epsilon : 0.0040, accuracy : 83.5802
Epsilon : 0.0050, accuracy : 84.3210
Epsilon : 0.0060, accuracy : 84.4444
Epsilon : 0.0070, accuracy : 84.6914
Epsilon : 0.0080, accuracy : 85.1852
Epsilon : 0.0090, accuracy : 85.9259
Epsilon : 0.0100, accuracy : 86.1728
Epsilon : 0.0110, accuracy : 86.7901
Epsilon : 0.0120, accuracy : 86.7901
Epsilon : 0.0130, accuracy : 87.0370
Epsilon : 0.0140, accuracy : 87.1605
Epsilon : 0.0150, accuracy : 87.1605
Epsilon : 0.0160, accuracy : 87.1605
Epsilon : 0.0170, accuracy : 87.1605
Epsilon : 0.0180, accuracy : 87.4074
Epsilon : 0.0190, accuracy : 87.5309
Epsilon : 0.0200, accuracy : 87.6543
Epsilon : 0.0210, accuracy : 87.7778
Epsilon : 0.0220, accuracy : 87.7778
Epsilon : 0.0230, accuracy : 88.1481
Epsilon : 0.0240, accuracy : 88.1481
Epsilon : 0.0250, accuracy : 88.2716
Epsilon : 0.0260, accuracy : 88.1481
Epsilon : 0.0270, accuracy : 88.2716
Epsilon : 0.0280, accuracy : 88.1481
Epsilon : 0.0290, accuracy : 88.1481
Epsilon : 0.0300, accuracy : 88.0247
Epsilon : 0.0310, accuracy : 87.9012
Epsilon : 0.0320, accuracy : 87.9012
Epsilon : 0.0330, accuracy : 87.9012
Epsilon : 0.0340, accuracy : 87.7778
Epsilon : 0.0350, accuracy : 87.6543
Epsilon : 0.0360, accuracy : 87.7778
Epsilon : 0.0370, accuracy : 87.7778
Epsilon : 0.0380, accuracy : 87.6543
Epsilon : 0.0390, accuracy : 87.6543
Epsilon : 0.0400, accuracy : 87.6543
Epsilon : 0.0410, accuracy : 87.5309
Epsilon : 0.0420, accuracy : 87.6543
Epsilon : 0.0430, accuracy : 87.7778
Epsilon : 0.0440, accuracy : 87.7778
Epsilon : 0.0450, accuracy : 87.5309
Epsilon : 0.0460, accuracy : 87.2840
Epsilon : 0.0470, accuracy : 87.2840
Epsilon : 0.0480, accuracy : 87.2840
Epsilon : 0.0490, accuracy : 87.0370
Epsilon : 0.0500, accuracy : 87.0370
