Epsilon : 0.0000, accuracy : 81.9753
Epsilon : 0.0010, accuracy : 81.7284
Epsilon : 0.0020, accuracy : 81.6049
Epsilon : 0.0030, accuracy : 81.1111
Epsilon : 0.0040, accuracy : 80.7407
Epsilon : 0.0050, accuracy : 80.4938
Epsilon : 0.0060, accuracy : 80.2469
Epsilon : 0.0070, accuracy : 80.1235
Epsilon : 0.0080, accuracy : 80.0000
Epsilon : 0.0090, accuracy : 79.5062
Epsilon : 0.0100, accuracy : 79.2593
Epsilon : 0.0110, accuracy : 78.5185
Epsilon : 0.0120, accuracy : 77.9012
Epsilon : 0.0130, accuracy : 77.5309
Epsilon : 0.0140, accuracy : 77.1605
Epsilon : 0.0150, accuracy : 76.4198
Epsilon : 0.0160, accuracy : 76.1728
Epsilon : 0.0170, accuracy : 75.4321
Epsilon : 0.0180, accuracy : 75.0617
Epsilon : 0.0190, accuracy : 74.9383
Epsilon : 0.0200, accuracy : 73.8272
Epsilon : 0.0210, accuracy : 73.4568
Epsilon : 0.0220, accuracy : 73.3333
Epsilon : 0.0230, accuracy : 73.2099
Epsilon : 0.0240, accuracy : 72.8395
Epsilon : 0.0250, accuracy : 72.7160
Epsilon : 0.0260, accuracy : 71.9753
Epsilon : 0.0270, accuracy : 71.7284
Epsilon : 0.0280, accuracy : 71.7284
Epsilon : 0.0290, accuracy : 71.2346
Epsilon : 0.0300, accuracy : 70.6173
Epsilon : 0.0310, accuracy : 70.0000
Epsilon : 0.0320, accuracy : 70.0000
Epsilon : 0.0330, accuracy : 69.5062
Epsilon : 0.0340, accuracy : 69.2593
Epsilon : 0.0350, accuracy : 69.1358
Epsilon : 0.0360, accuracy : 68.7654
Epsilon : 0.0370, accuracy : 68.3951
Epsilon : 0.0380, accuracy : 68.3951
Epsilon : 0.0390, accuracy : 68.2716
Epsilon : 0.0400, accuracy : 67.7778
Epsilon : 0.0410, accuracy : 67.5309
Epsilon : 0.0420, accuracy : 67.4074
Epsilon : 0.0430, accuracy : 67.0370
Epsilon : 0.0440, accuracy : 66.9136
Epsilon : 0.0450, accuracy : 67.0370
Epsilon : 0.0460, accuracy : 67.1605
Epsilon : 0.0470, accuracy : 67.2840
Epsilon : 0.0480, accuracy : 67.0370
Epsilon : 0.0490, accuracy : 67.0370
Epsilon : 0.0500, accuracy : 66.9136
