Epsilon : 0.00, accuracy : 88.5728
Epsilon : 0.04, accuracy : 89.1791
Epsilon : 0.08, accuracy : 89.7854
Epsilon : 0.12, accuracy : 90.1119
Epsilon : 0.16, accuracy : 90.8582
Epsilon : 0.20, accuracy : 91.1847
Epsilon : 0.24, accuracy : 91.7910
Epsilon : 0.28, accuracy : 92.1642
Epsilon : 0.32, accuracy : 92.3974
Epsilon : 0.36, accuracy : 93.1903
Epsilon : 0.40, accuracy : 93.8899
Epsilon : 0.44, accuracy : 94.1231
Epsilon : 0.48, accuracy : 94.5429
Epsilon : 0.52, accuracy : 94.8694
Epsilon : 0.56, accuracy : 95.0093
Epsilon : 0.60, accuracy : 95.1493
Epsilon : 0.64, accuracy : 95.6157
Epsilon : 0.68, accuracy : 95.6623
Epsilon : 0.72, accuracy : 95.8022
Epsilon : 0.76, accuracy : 96.2220
Epsilon : 0.80, accuracy : 96.4086
Epsilon : 0.84, accuracy : 96.5485
Epsilon : 0.88, accuracy : 96.8750
Epsilon : 0.92, accuracy : 97.0149
Epsilon : 0.96, accuracy : 97.1549
Epsilon : 1.00, accuracy : 97.2015
Epsilon : 1.04, accuracy : 97.3414
Epsilon : 1.08, accuracy : 97.3881
Epsilon : 1.12, accuracy : 97.4347
Epsilon : 1.16, accuracy : 97.4813
Epsilon : 1.20, accuracy : 97.5746
Epsilon : 1.24, accuracy : 97.7612
Epsilon : 1.28, accuracy : 97.8545
Epsilon : 1.32, accuracy : 97.9011
Epsilon : 1.36, accuracy : 98.0410
Epsilon : 1.40, accuracy : 98.1343
Epsilon : 1.44, accuracy : 98.2276
Epsilon : 1.48, accuracy : 98.4142
Epsilon : 1.52, accuracy : 98.4608
Epsilon : 1.56, accuracy : 98.5541
Epsilon : 1.60, accuracy : 98.6474
Epsilon : 1.64, accuracy : 98.6474
Epsilon : 1.68, accuracy : 98.6474
Epsilon : 1.72, accuracy : 98.6474
Epsilon : 1.76, accuracy : 98.6474
Epsilon : 1.80, accuracy : 98.7407
Epsilon : 1.84, accuracy : 98.7873
Epsilon : 1.88, accuracy : 98.8340
Epsilon : 1.92, accuracy : 98.8340
Epsilon : 1.96, accuracy : 98.9272
Epsilon : 2.00, accuracy : 98.9739
Epsilon : 2.04, accuracy : 98.9739
Epsilon : 2.08, accuracy : 98.9739
Epsilon : 2.12, accuracy : 98.9272
Epsilon : 2.16, accuracy : 98.9739
Epsilon : 2.20, accuracy : 98.9739
Epsilon : 2.24, accuracy : 98.9272
Epsilon : 2.28, accuracy : 98.9272
Epsilon : 2.32, accuracy : 98.9739
Epsilon : 2.36, accuracy : 99.0205
Epsilon : 2.40, accuracy : 99.0672
Epsilon : 2.44, accuracy : 99.0672
Epsilon : 2.48, accuracy : 99.0672
Epsilon : 2.52, accuracy : 99.0672
Epsilon : 2.56, accuracy : 99.0672
Epsilon : 2.60, accuracy : 99.1138
Epsilon : 2.64, accuracy : 99.1138
Epsilon : 2.68, accuracy : 99.1138
Epsilon : 2.72, accuracy : 99.1604
Epsilon : 2.76, accuracy : 99.1604
Epsilon : 2.80, accuracy : 99.1604
Epsilon : 2.84, accuracy : 99.1604
Epsilon : 2.88, accuracy : 99.1604
Epsilon : 2.92, accuracy : 99.1604
Epsilon : 2.96, accuracy : 99.2071
Epsilon : 3.00, accuracy : 99.2071
Epsilon : 3.04, accuracy : 99.2071
Epsilon : 3.08, accuracy : 99.2071
Epsilon : 3.12, accuracy : 99.2071
Epsilon : 3.16, accuracy : 99.2537
Epsilon : 3.20, accuracy : 99.2537
Epsilon : 3.24, accuracy : 99.2537
Epsilon : 3.28, accuracy : 99.2537
Epsilon : 3.32, accuracy : 99.2537
Epsilon : 3.36, accuracy : 99.1604
Epsilon : 3.40, accuracy : 99.1604
Epsilon : 3.44, accuracy : 99.1604
Epsilon : 3.48, accuracy : 99.1604
Epsilon : 3.52, accuracy : 99.1604
Epsilon : 3.56, accuracy : 99.1604
Epsilon : 3.60, accuracy : 99.1604
Epsilon : 3.64, accuracy : 99.1138
Epsilon : 3.68, accuracy : 99.0672
Epsilon : 3.72, accuracy : 99.0672
Epsilon : 3.76, accuracy : 99.0672
Epsilon : 3.80, accuracy : 99.0672
Epsilon : 3.84, accuracy : 99.0672
Epsilon : 3.88, accuracy : 99.0672
Epsilon : 3.92, accuracy : 99.0672
Epsilon : 3.96, accuracy : 98.9739
Epsilon : 4.00, accuracy : 98.9739
