Epsilon : 0.00, accuracy : 88.5728
Epsilon : 0.04, accuracy : 87.8731
Epsilon : 0.08, accuracy : 87.0802
Epsilon : 0.12, accuracy : 86.2407
Epsilon : 0.16, accuracy : 85.5410
Epsilon : 0.20, accuracy : 84.7948
Epsilon : 0.24, accuracy : 84.3750
Epsilon : 0.28, accuracy : 84.0019
Epsilon : 0.32, accuracy : 83.3022
Epsilon : 0.36, accuracy : 82.6959
Epsilon : 0.40, accuracy : 82.1362
Epsilon : 0.44, accuracy : 81.7631
Epsilon : 0.48, accuracy : 81.0634
Epsilon : 0.52, accuracy : 80.3638
Epsilon : 0.56, accuracy : 79.8974
Epsilon : 0.60, accuracy : 79.4776
Epsilon : 0.64, accuracy : 79.1978
Epsilon : 0.68, accuracy : 78.5448
Epsilon : 0.72, accuracy : 78.0784
Epsilon : 0.76, accuracy : 77.5187
Epsilon : 0.80, accuracy : 77.0989
Epsilon : 0.84, accuracy : 76.6325
Epsilon : 0.88, accuracy : 76.1660
Epsilon : 0.92, accuracy : 75.7929
Epsilon : 0.96, accuracy : 75.1866
Epsilon : 1.00, accuracy : 74.4403
Epsilon : 1.04, accuracy : 73.9739
Epsilon : 1.08, accuracy : 73.1810
Epsilon : 1.12, accuracy : 72.5746
Epsilon : 1.16, accuracy : 71.6418
Epsilon : 1.20, accuracy : 70.8955
Epsilon : 1.24, accuracy : 70.2425
Epsilon : 1.28, accuracy : 69.7761
Epsilon : 1.32, accuracy : 69.2631
Epsilon : 1.36, accuracy : 68.9366
Epsilon : 1.40, accuracy : 68.6567
Epsilon : 1.44, accuracy : 68.1903
Epsilon : 1.48, accuracy : 67.6306
Epsilon : 1.52, accuracy : 66.9776
Epsilon : 1.56, accuracy : 66.2313
Epsilon : 1.60, accuracy : 65.7649
Epsilon : 1.64, accuracy : 65.2985
Epsilon : 1.68, accuracy : 64.8787
Epsilon : 1.72, accuracy : 64.6922
Epsilon : 1.76, accuracy : 64.3657
Epsilon : 1.80, accuracy : 64.0392
Epsilon : 1.84, accuracy : 63.7593
Epsilon : 1.88, accuracy : 63.3396
Epsilon : 1.92, accuracy : 62.6866
Epsilon : 1.96, accuracy : 62.3601
Epsilon : 2.00, accuracy : 62.0802
Epsilon : 2.04, accuracy : 61.6604
Epsilon : 2.08, accuracy : 61.4272
Epsilon : 2.12, accuracy : 60.7743
Epsilon : 2.16, accuracy : 60.3545
Epsilon : 2.20, accuracy : 60.0746
Epsilon : 2.24, accuracy : 59.7481
Epsilon : 2.28, accuracy : 59.6082
Epsilon : 2.32, accuracy : 59.3750
Epsilon : 2.36, accuracy : 59.1418
Epsilon : 2.40, accuracy : 59.0019
Epsilon : 2.44, accuracy : 58.6287
Epsilon : 2.48, accuracy : 58.3489
Epsilon : 2.52, accuracy : 58.2556
Epsilon : 2.56, accuracy : 58.0690
Epsilon : 2.60, accuracy : 58.0224
Epsilon : 2.64, accuracy : 57.6026
Epsilon : 2.68, accuracy : 57.3228
Epsilon : 2.72, accuracy : 57.1362
Epsilon : 2.76, accuracy : 56.8097
Epsilon : 2.80, accuracy : 56.6698
Epsilon : 2.84, accuracy : 56.3433
Epsilon : 2.88, accuracy : 56.1101
Epsilon : 2.92, accuracy : 55.7836
Epsilon : 2.96, accuracy : 55.3172
Epsilon : 3.00, accuracy : 55.2239
Epsilon : 3.04, accuracy : 54.9440
Epsilon : 3.08, accuracy : 54.7108
Epsilon : 3.12, accuracy : 54.4310
Epsilon : 3.16, accuracy : 54.1978
Epsilon : 3.20, accuracy : 54.0578
Epsilon : 3.24, accuracy : 53.8246
Epsilon : 3.28, accuracy : 53.5448
Epsilon : 3.32, accuracy : 53.4515
Epsilon : 3.36, accuracy : 53.2649
Epsilon : 3.40, accuracy : 52.9851
Epsilon : 3.44, accuracy : 52.7985
Epsilon : 3.48, accuracy : 52.6119
Epsilon : 3.52, accuracy : 52.3321
Epsilon : 3.56, accuracy : 52.0522
Epsilon : 3.60, accuracy : 51.6791
Epsilon : 3.64, accuracy : 51.5858
Epsilon : 3.68, accuracy : 51.4925
Epsilon : 3.72, accuracy : 51.2593
Epsilon : 3.76, accuracy : 51.1660
Epsilon : 3.80, accuracy : 51.0261
Epsilon : 3.84, accuracy : 50.9328
Epsilon : 3.88, accuracy : 50.9795
Epsilon : 3.92, accuracy : 50.8862
Epsilon : 3.96, accuracy : 50.7929
Epsilon : 4.00, accuracy : 50.6996
